,trade Id,Time,Stock symbol,Company,Price,Quantity,Total Amount ($),Stock/Option,Strike Price,Option type,Action,Option Expire Date,ticker,long/short,Date
882,93727608.0,10/07/2020 09:56:34 EDT,HYLN,Hyliion Holdings Corporation,0.70,2,140.00,OPTION,34.00,call,SELL,2020-10-09,950122538.0,short,2020-10-07
883,93680658.0,10/07/2020 09:37:54 EDT,HYLN,Hyliion Holdings Corporation,1.25,1,125.00,OPTION,30.00,put,SELL,2020-10-09,950122538.0,long,2020-10-07
884,93656581.0,10/07/2020 09:31:07 EDT,HYLN,Hyliion Holdings Corporation,31.52,100,3151.92,STOCK,,,BUY,,950122538.0,long,2020-10-07
885,93491126.0,10/06/2020 17:16:56 EDT,HYLN,Hyliion Holdings Corporation,32.46,100,3246.00,STOCK,,,BUY,,950122538.0,long,2020-10-06
886,93472527.0,10/06/2020 16:19:33 EDT,UVXY,ProShares Ultra VIX Short-Term Futures,20.38,100,2038.00,STOCK,,,BUY,,913424717.0,long,2020-10-06
887,93451863.0,10/06/2020 15:52:00 EDT,NIO,NIO Inc.,0.30,9,270.00,OPTION,21.50,call,SELL,2020-10-09,950076017.0,short,2020-10-06
888,93451516.0,10/06/2020 15:51:42 EDT,NIO,NIO Inc.,0.15,9,135.00,OPTION,22.50,call,BUY,2020-10-09,950076017.0,long,2020-10-06
889,93336351.0,10/06/2020 14:25:45 EDT,UVXY,ProShares Ultra VIX Short-Term Futures,19.31,100,1931.04,STOCK,,,SELL,,913424717.0,short,2020-10-06
890,93210464.0,10/06/2020 11:54:50 EDT,SLV,iShares Silver Trust,0.55,2,110.00,OPTION,22.00,call,SELL,2020-10-09,913244503.0,short,2020-10-06
891,93178166.0,10/06/2020 11:26:15 EDT,HYLN,Hyliion Holdings Corporation,1.31,1,131.00,OPTION,36.00,call,SELL,2020-10-09,950122538.0,short,2020-10-06
892,93174651.0,10/06/2020 11:24:00 EDT,MRNA,Moderna,72.08,100,7208.00,STOCK,,,SELL,,950102542.0,short,2020-10-06
